,weekday,hour,minute
2016-09-18 06:00:00,6,6,0
2016-09-18 08:00:00,6,8,0
2016-09-18 10:00:00,6,10,0
2016-09-18 12:00:00,6,12,0
2016-09-18 14:00:00,6,14,0
2016-09-18 16:00:00,6,16,0
2016-09-18 18:00:00,6,18,0
2016-09-18 20:00:00,6,20,0
2016-09-18 22:00:00,6,22,0
2016-09-19 00:00:00,0,0,0
2016-09-19 02:00:00,0,2,0
2016-09-19 04:00:00,0,4,0
2016-09-19 06:00:00,0,6,0
2016-09-19 08:00:00,0,8,0
2016-09-19 10:00:00,0,10,0
2016-09-19 12:00:00,0,12,0
2016-09-19 14:00:00,0,14,0
2016-09-19 16:00:00,0,16,0
2016-09-19 18:00:00,0,18,0
2016-09-19 20:00:00,0,20,0
2016-09-19 22:00:00,0,22,0
2016-09-20 00:00:00,1,0,0
2016-09-20 02:00:00,1,2,0
2016-09-20 04:00:00,1,4,0
2016-09-20 06:00:00,1,6,0
2016-09-20 08:00:00,1,8,0
2016-09-20 10:00:00,1,10,0
2016-09-20 12:00:00,1,12,0
2016-09-20 14:00:00,1,14,0
2016-09-20 16:00:00,1,16,0
2016-09-20 18:00:00,1,18,0
2016-09-20 20:00:00,1,20,0
2016-09-20 22:00:00,1,22,0
2016-09-21 00:00:00,2,0,0
2016-09-21 02:00:00,2,2,0
2016-09-21 04:00:00,2,4,0
2016-09-21 06:00:00,2,6,0
2016-09-21 08:00:00,2,8,0
2016-09-21 10:00:00,2,10,0
2016-09-21 12:00:00,2,12,0
2016-09-21 14:00:00,2,14,0
2016-09-21 16:00:00,2,16,0
2016-09-21 18:00:00,2,18,0
2016-09-21 20:00:00,2,20,0
2016-09-21 22:00:00,2,22,0
2016-09-22 00:00:00,3,0,0
2016-09-22 02:00:00,3,2,0
2016-09-22 04:00:00,3,4,0
2016-09-22 06:00:00,3,6,0
2016-09-22 08:00:00,3,8,0
2016-09-22 10:00:00,3,10,0
2016-09-22 12:00:00,3,12,0
2016-09-22 14:00:00,3,14,0
2016-09-22 16:00:00,3,16,0
2016-09-22 18:00:00,3,18,0
2016-09-22 20:00:00,3,20,0
2016-09-22 22:00:00,3,22,0
2016-09-23 00:00:00,4,0,0
2016-09-23 02:00:00,4,2,0
2016-09-23 04:00:00,4,4,0
2016-09-23 06:00:00,4,6,0
2016-09-23 08:00:00,4,8,0
2016-09-23 10:00:00,4,10,0
2016-09-23 12:00:00,4,12,0
2016-09-23 14:00:00,4,14,0
2016-09-23 16:00:00,4,16,0
2016-09-23 18:00:00,4,18,0
2016-09-23 20:00:00,4,20,0
2016-09-23 22:00:00,4,22,0
2016-09-24 00:00:00,5,0,0
2016-09-24 02:00:00,5,2,0
2016-09-24 04:00:00,5,4,0
2016-09-24 06:00:00,5,6,0
2016-09-24 08:00:00,5,8,0
2016-09-24 10:00:00,5,10,0
2016-09-24 12:00:00,5,12,0
2016-09-24 14:00:00,5,14,0
2016-09-24 16:00:00,5,16,0
2016-09-24 18:00:00,5,18,0
2016-09-24 20:00:00,5,20,0
2016-09-24 22:00:00,5,22,0
2016-09-25 00:00:00,6,0,0
2016-09-25 02:00:00,6,2,0
2016-09-25 04:00:00,6,4,0
2016-09-25 06:00:00,6,6,0
2016-09-25 08:00:00,6,8,0
2016-09-25 10:00:00,6,10,0
2016-09-25 12:00:00,6,12,0
2016-09-25 14:00:00,6,14,0
2016-09-25 16:00:00,6,16,0
2016-09-25 18:00:00,6,18,0
2016-09-25 20:00:00,6,20,0
2016-09-25 22:00:00,6,22,0
2016-09-26 00:00:00,0,0,0
2016-09-26 02:00:00,0,2,0
2016-09-26 04:00:00,0,4,0
2016-09-26 06:00:00,0,6,0
2016-09-26 08:00:00,0,8,0
2016-09-26 10:00:00,0,10,0
2016-09-26 12:00:00,0,12,0
2016-09-26 14:00:00,0,14,0
2016-09-26 16:00:00,0,16,0
2016-09-26 18:00:00,0,18,0
2016-09-26 20:00:00,0,20,0
2016-09-26 22:00:00,0,22,0
2016-09-27 00:00:00,1,0,0
2016-09-27 02:00:00,1,2,0
2016-09-27 04:00:00,1,4,0
2016-09-27 06:00:00,1,6,0
2016-09-27 08:00:00,1,8,0
2016-09-27 10:00:00,1,10,0
2016-09-27 12:00:00,1,12,0
2016-09-27 14:00:00,1,14,0
2016-09-27 16:00:00,1,16,0
2016-09-27 18:00:00,1,18,0
2016-09-27 20:00:00,1,20,0
2016-09-27 22:00:00,1,22,0
2016-09-28 00:00:00,2,0,0
2016-09-28 02:00:00,2,2,0
2016-09-28 04:00:00,2,4,0
2016-09-28 06:00:00,2,6,0
2016-09-28 08:00:00,2,8,0
2016-09-28 10:00:00,2,10,0
2016-09-28 12:00:00,2,12,0
2016-09-28 14:00:00,2,14,0
2016-09-28 16:00:00,2,16,0
2016-09-28 18:00:00,2,18,0
2016-09-28 20:00:00,2,20,0
2016-09-28 22:00:00,2,22,0
2016-09-29 00:00:00,3,0,0
2016-09-29 02:00:00,3,2,0
2016-09-29 04:00:00,3,4,0
2016-09-29 06:00:00,3,6,0
2016-09-29 08:00:00,3,8,0
2016-09-29 10:00:00,3,10,0
2016-09-29 12:00:00,3,12,0
2016-09-29 14:00:00,3,14,0
2016-09-29 16:00:00,3,16,0
2016-09-29 18:00:00,3,18,0
2016-09-29 20:00:00,3,20,0
2016-09-29 22:00:00,3,22,0
2016-09-30 00:00:00,4,0,0
2016-09-30 02:00:00,4,2,0
2016-09-30 04:00:00,4,4,0
2016-09-30 06:00:00,4,6,0
2016-09-30 08:00:00,4,8,0
2016-09-30 10:00:00,4,10,0
2016-09-30 12:00:00,4,12,0
2016-09-30 14:00:00,4,14,0
2016-09-30 16:00:00,4,16,0
2016-09-30 18:00:00,4,18,0
2016-09-30 20:00:00,4,20,0
2016-09-30 22:00:00,4,22,0
2016-10-01 00:00:00,5,0,0
2016-10-01 02:00:00,5,2,0
2016-10-01 04:00:00,5,4,0
2016-10-01 06:00:00,5,6,0
2016-10-01 08:00:00,5,8,0
2016-10-01 10:00:00,5,10,0
2016-10-01 12:00:00,5,12,0
2016-10-01 14:00:00,5,14,0
2016-10-01 16:00:00,5,16,0
2016-10-01 18:00:00,5,18,0
2016-10-01 20:00:00,5,20,0
2016-10-01 22:00:00,5,22,0
2016-10-02 00:00:00,6,0,0
2016-10-02 02:00:00,6,2,0
2016-10-02 04:00:00,6,4,0
2016-10-02 06:00:00,6,6,0
2016-10-02 08:00:00,6,8,0
2016-10-02 10:00:00,6,10,0
2016-10-02 12:00:00,6,12,0
2016-10-02 14:00:00,6,14,0
2016-10-02 16:00:00,6,16,0
2016-10-02 18:00:00,6,18,0
2016-10-02 20:00:00,6,20,0
2016-10-02 22:00:00,6,22,0
2016-10-03 00:00:00,0,0,0
2016-10-03 02:00:00,0,2,0
2016-10-03 04:00:00,0,4,0
2016-10-03 06:00:00,0,6,0
2016-10-03 08:00:00,0,8,0
2016-10-03 10:00:00,0,10,0
2016-10-03 12:00:00,0,12,0
2016-10-03 14:00:00,0,14,0
2016-10-03 16:00:00,0,16,0
2016-10-03 18:00:00,0,18,0
2016-10-03 20:00:00,0,20,0
2016-10-03 22:00:00,0,22,0
2016-10-04 00:00:00,1,0,0
2016-10-04 02:00:00,1,2,0
2016-10-04 04:00:00,1,4,0
2016-10-04 06:00:00,1,6,0
2016-10-04 08:00:00,1,8,0
2016-10-04 10:00:00,1,10,0
2016-10-04 12:00:00,1,12,0
2016-10-04 14:00:00,1,14,0
2016-10-04 16:00:00,1,16,0
2016-10-04 18:00:00,1,18,0
2016-10-04 20:00:00,1,20,0
2016-10-04 22:00:00,1,22,0
2016-10-05 00:00:00,2,0,0
2016-10-05 02:00:00,2,2,0
2016-10-05 04:00:00,2,4,0
2016-10-05 06:00:00,2,6,0
2016-10-05 08:00:00,2,8,0
2016-10-05 10:00:00,2,10,0
2016-10-05 12:00:00,2,12,0
2016-10-05 14:00:00,2,14,0
2016-10-05 16:00:00,2,16,0
2016-10-05 18:00:00,2,18,0
2016-10-05 20:00:00,2,20,0
2016-10-05 22:00:00,2,22,0
2016-10-06 00:00:00,3,0,0
2016-10-06 02:00:00,3,2,0
2016-10-06 04:00:00,3,4,0
2016-10-06 06:00:00,3,6,0
2016-10-06 08:00:00,3,8,0
2016-10-06 10:00:00,3,10,0
2016-10-06 12:00:00,3,12,0
2016-10-06 14:00:00,3,14,0
2016-10-06 16:00:00,3,16,0
2016-10-06 18:00:00,3,18,0
2016-10-06 20:00:00,3,20,0
2016-10-06 22:00:00,3,22,0
2016-10-07 00:00:00,4,0,0
2016-10-07 02:00:00,4,2,0
2016-10-07 04:00:00,4,4,0
2016-10-07 06:00:00,4,6,0
2016-10-07 08:00:00,4,8,0
2016-10-07 10:00:00,4,10,0
2016-10-07 12:00:00,4,12,0
2016-10-07 14:00:00,4,14,0
2016-10-07 16:00:00,4,16,0
2016-10-07 18:00:00,4,18,0
2016-10-07 20:00:00,4,20,0
2016-10-07 22:00:00,4,22,0
